period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,1855,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,1615,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,1900,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,2108,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1310586,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1310732,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1310428,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1310586,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1310178,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1364838,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1365736,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1362474,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1364838,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1363738,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1313530,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1313692,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1313354,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1313530,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1313061,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,2943,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,2960,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,2926,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,2943,megawatthours
2026-01-19,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,2881,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1295260,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1299527,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1303101,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1295260,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1290172,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1304251,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1310614,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1317989,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1304251,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1296843,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1287173,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1291413,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1295286,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1287173,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1282031,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-8075,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-8103,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-7805,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-8075,megawatthours
2026-01-20,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-8129,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1188950,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1190188,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1191528,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1188950,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1188180,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1213187,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1214067,megawatthours
2026-01-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1215204,megawatthours
